USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Petunia-3 White       W1R1Fa AREF
copy of splib05a r 11068                                    
       0.350000       0.111790       0.000000
       0.351000       0.111790       0.000000
       0.352000       0.115187       0.000000
       0.353000       0.118683       0.000000
       0.354000       0.122379       0.000000
       0.355000       0.126355       0.000000
       0.356000       0.130618       0.000000
       0.357000       0.135158       0.000000
       0.358000       0.139976       0.000000
       0.359000       0.145123       0.000000
       0.360000       0.150661       0.000000
       0.361000       0.156636       0.000000
       0.362000       0.163014       0.000000
       0.363000       0.169742       0.000000
       0.364000       0.176747       0.000000
       0.365000       0.183866       0.000000
       0.366000       0.190914       0.000000
       0.367000       0.197762       0.000000
       0.368000       0.204496       0.000000
       0.369000       0.211256       0.000000
       0.370000       0.218178       0.000000
       0.371000       0.225386       0.000000
       0.372000       0.232999       0.000000
       0.373000       0.241100       0.000000
       0.374000       0.249619       0.000000
       0.375000       0.258450       0.000000
       0.376000       0.267493       0.000000
       0.377000       0.276672       0.000000
       0.378000       0.285920       0.000000
       0.379000       0.295163       0.000000
       0.380000       0.304306       0.000000
       0.381000       0.313248       0.000000
       0.382000       0.321932       0.000000
       0.383000       0.330470       0.000000
       0.384000       0.339016       0.000000
       0.385000       0.347690       0.000000
       0.386000       0.356469       0.000000
       0.387000       0.365298       0.000000
       0.388000       0.374075       0.000000
       0.389000       0.382522       0.000000
       0.390000       0.390318       0.000000
       0.391000       0.397231       0.000000
       0.392000       0.403398       0.000000
       0.393000       0.409045       0.000000
       0.394000       0.414368       0.000000
       0.395000       0.419431       0.000000
       0.396000       0.424268       0.000000
       0.397000       0.428887       0.000000
       0.398000       0.433198       0.000000
       0.399000       0.437085       0.000000
       0.400000       0.440459       0.000000
       0.401000       0.443336       0.000000
       0.402000       0.445759       0.000000
       0.403000       0.447782       0.000000
       0.404000       0.449506       0.000000
       0.405000       0.451045       0.000000
       0.406000       0.452494       0.000000
       0.407000       0.453873       0.000000
       0.408000       0.455187       0.000000
       0.409000       0.456436       0.000000
       0.410000       0.457603       0.000000
       0.411000       0.458670       0.000000
       0.412000       0.459623       0.000000
       0.413000       0.460470       0.000000
       0.414000       0.461226       0.000000
       0.415000       0.461904       0.000000
       0.416000       0.462514       0.000000
       0.417000       0.463063       0.000000
       0.418000       0.463561       0.000000
       0.419000       0.464018       0.000000
       0.420000       0.464444       0.000000
       0.421000       0.464849       0.000000
       0.422000       0.465240       0.000000
       0.423000       0.465625       0.000000
       0.424000       0.466010       0.000000
       0.425000       0.466405       0.000000
       0.426000       0.466822       0.000000
       0.427000       0.467268       0.000000
       0.428000       0.467747       0.000000
       0.429000       0.468263       0.000000
       0.430000       0.468814       0.000000
       0.431000       0.469393       0.000000
       0.432000       0.469990       0.000000
       0.433000       0.470595       0.000000
       0.434000       0.471198       0.000000
       0.435000       0.471791       0.000000
       0.436000       0.472367       0.000000
       0.437000       0.472932       0.000000
       0.438000       0.473492       0.000000
       0.439000       0.474051       0.000000
       0.440000       0.474601       0.000000
       0.441000       0.475128       0.000000
       0.442000       0.475623       0.000000
       0.443000       0.476091       0.000000
       0.444000       0.476539       0.000000
       0.445000       0.476974       0.000000
       0.446000       0.477405       0.000000
       0.447000       0.477840       0.000000
       0.448000       0.478284       0.000000
       0.449000       0.478729       0.000000
       0.450000       0.479166       0.000000
       0.451000       0.479587       0.000000
       0.452000       0.479996       0.000000
       0.453000       0.480398       0.000000
       0.454000       0.480796       0.000000
       0.455000       0.481183       0.000000
       0.456000       0.481550       0.000000
       0.457000       0.481889       0.000000
       0.458000       0.482205       0.000000
       0.459000       0.482505       0.000000
       0.460000       0.482797       0.000000
       0.461000       0.483081       0.000000
       0.462000       0.483361       0.000000
       0.463000       0.483637       0.000000
       0.464000       0.483910       0.000000
       0.465000       0.484182       0.000000
       0.466000       0.484451       0.000000
       0.467000       0.484718       0.000000
       0.468000       0.484978       0.000000
       0.469000       0.485231       0.000000
       0.470000       0.485475       0.000000
       0.471000       0.485713       0.000000
       0.472000       0.485944       0.000000
       0.473000       0.486169       0.000000
       0.474000       0.486390       0.000000
       0.475000       0.486608       0.000000
       0.476000       0.486818       0.000000
       0.477000       0.487021       0.000000
       0.478000       0.487212       0.000000
       0.479000       0.487396       0.000000
       0.480000       0.487576       0.000000
       0.481000       0.487755       0.000000
       0.482000       0.487936       0.000000
       0.483000       0.488121       0.000000
       0.484000       0.488313       0.000000
       0.485000       0.488510       0.000000
       0.486000       0.488711       0.000000
       0.487000       0.488915       0.000000
       0.488000       0.489123       0.000000
       0.489000       0.489338       0.000000
       0.490000       0.489565       0.000000
       0.491000       0.489822       0.000000
       0.492000       0.490130       0.000000
       0.493000       0.490505       0.000000
       0.494000       0.490935       0.000000
       0.495000       0.491400       0.000000
       0.496000       0.491888       0.000000
       0.497000       0.492399       0.000000
       0.498000       0.492941       0.000000
       0.499000       0.493518       0.000000
       0.500000       0.494133       0.000000
       0.501000       0.494785       0.000000
       0.502000       0.495474       0.000000
       0.503000       0.496200       0.000000
       0.504000       0.496961       0.000000
       0.505000       0.497756       0.000000
       0.506000       0.498588       0.000000
       0.507000       0.499462       0.000000
       0.508000       0.500380       0.000000
       0.509000       0.501339       0.000000
       0.510000       0.502334       0.000000
       0.511000       0.503361       0.000000
       0.512000       0.504418       0.000000
       0.513000       0.505503       0.000000
       0.514000       0.506615       0.000000
       0.515000       0.507752       0.000000
       0.516000       0.508917       0.000000
       0.517000       0.510108       0.000000
       0.518000       0.511325       0.000000
       0.519000       0.512565       0.000000
       0.520000       0.513826       0.000000
       0.521000       0.515102       0.000000
       0.522000       0.516386       0.000000
       0.523000       0.517671       0.000000
       0.524000       0.518948       0.000000
       0.525000       0.520211       0.000000
       0.526000       0.521450       0.000000
       0.527000       0.522659       0.000000
       0.528000       0.523831       0.000000
       0.529000       0.524961       0.000000
       0.530000       0.526046       0.000000
       0.531000       0.527085       0.000000
       0.532000       0.528075       0.000000
       0.533000       0.529014       0.000000
       0.534000       0.529895       0.000000
       0.535000       0.530717       0.000000
       0.536000       0.531482       0.000000
       0.537000       0.532196       0.000000
       0.538000       0.532860       0.000000
       0.539000       0.533477       0.000000
       0.540000       0.534045       0.000000
       0.541000       0.534567       0.000000
       0.542000       0.535048       0.000000
       0.543000       0.535497       0.000000
       0.544000       0.535923       0.000000
       0.545000       0.536328       0.000000
       0.546000       0.536716       0.000000
       0.547000       0.537088       0.000000
       0.548000       0.537439       0.000000
       0.549000       0.537762       0.000000
       0.550000       0.538050       0.000000
       0.551000       0.538305       0.000000
       0.552000       0.538529       0.000000
       0.553000       0.538724       0.000000
       0.554000       0.538890       0.000000
       0.555000       0.539027       0.000000
       0.556000       0.539133       0.000000
       0.557000       0.539200       0.000000
       0.558000       0.539220       0.000000
       0.559000       0.539188       0.000000
       0.560000       0.539110       0.000000
       0.561000       0.538999       0.000000
       0.562000       0.538864       0.000000
       0.563000       0.538713       0.000000
       0.564000       0.538553       0.000000
       0.565000       0.538387       0.000000
       0.566000       0.538203       0.000000
       0.567000       0.537987       0.000000
       0.568000       0.537726       0.000000
       0.569000       0.537424       0.000000
       0.570000       0.537088       0.000000
       0.571000       0.536723       0.000000
       0.572000       0.536337       0.000000
       0.573000       0.535936       0.000000
       0.574000       0.535527       0.000000
       0.575000       0.535115       0.000000
       0.576000       0.534701       0.000000
       0.577000       0.534288       0.000000
       0.578000       0.533871       0.000000
       0.579000       0.533442       0.000000
       0.580000       0.532996       0.000000
       0.581000       0.532541       0.000000
       0.582000       0.532085       0.000000
       0.583000       0.531636       0.000000
       0.584000       0.531198       0.000000
       0.585000       0.530770       0.000000
       0.586000       0.530353       0.000000
       0.587000       0.529934       0.000000
       0.588000       0.529500       0.000000
       0.589000       0.529042       0.000000
       0.590000       0.528560       0.000000
       0.591000       0.528062       0.000000
       0.592000       0.527553       0.000000
       0.593000       0.527044       0.000000
       0.594000       0.526548       0.000000
       0.595000       0.526074       0.000000
       0.596000       0.525619       0.000000
       0.597000       0.525179       0.000000
       0.598000       0.524748       0.000000
       0.599000       0.524326       0.000000
       0.600000       0.523916       0.000000
       0.601000       0.523517       0.000000
       0.602000       0.523127       0.000000
       0.603000       0.522742       0.000000
       0.604000       0.522359       0.000000
       0.605000       0.521971       0.000000
       0.606000       0.521572       0.000000
       0.607000       0.521157       0.000000
       0.608000       0.520725       0.000000
       0.609000       0.520277       0.000000
       0.610000       0.519816       0.000000
       0.611000       0.519343       0.000000
       0.612000       0.518861       0.000000
       0.613000       0.518372       0.000000
       0.614000       0.517881       0.000000
       0.615000       0.517394       0.000000
       0.616000       0.516917       0.000000
       0.617000       0.516456       0.000000
       0.618000       0.516019       0.000000
       0.619000       0.515610       0.000000
       0.620000       0.515235       0.000000
       0.621000       0.514896       0.000000
       0.622000       0.514596       0.000000
       0.623000       0.514334       0.000000
       0.624000       0.514108       0.000000
       0.625000       0.513920       0.000000
       0.626000       0.513778       0.000000
       0.627000       0.513692       0.000000
       0.628000       0.513668       0.000000
       0.629000       0.513685       0.000000
       0.630000       0.513717       0.000000
       0.631000       0.513740       0.000000
       0.632000       0.513745       0.000000
       0.633000       0.513728       0.000000
       0.634000       0.513682       0.000000
       0.635000       0.513603       0.000000
       0.636000       0.513484       0.000000
       0.637000       0.513320       0.000000
       0.638000       0.513112       0.000000
       0.639000       0.512859       0.000000
       0.640000       0.512562       0.000000
       0.641000       0.512219       0.000000
       0.642000       0.511829       0.000000
       0.643000       0.511392       0.000000
       0.644000       0.510925       0.000000
       0.645000       0.510448       0.000000
       0.646000       0.509977       0.000000
       0.647000       0.509510       0.000000
       0.648000       0.509040       0.000000
       0.649000       0.508566       0.000000
       0.650000       0.508093       0.000000
       0.651000       0.507634       0.000000
       0.652000       0.507196       0.000000
       0.653000       0.506781       0.000000
       0.654000       0.506388       0.000000
       0.655000       0.506012       0.000000
       0.656000       0.505616       0.000000
       0.657000       0.505158       0.000000
       0.658000       0.504610       0.000000
       0.659000       0.503994       0.000000
       0.660000       0.503347       0.000000
       0.661000       0.502695       0.000000
       0.662000       0.502035       0.000000
       0.663000       0.501351       0.000000
       0.664000       0.500636       0.000000
       0.665000       0.499897       0.000000
       0.666000       0.499148       0.000000
       0.667000       0.498404       0.000000
       0.668000       0.497681       0.000000
       0.669000       0.496998       0.000000
       0.670000       0.496369       0.000000
       0.671000       0.495797       0.000000
       0.672000       0.495283       0.000000
       0.673000       0.494826       0.000000
       0.674000       0.494428       0.000000
       0.675000       0.494089       0.000000
       0.676000       0.493811       0.000000
       0.677000       0.493592       0.000000
       0.678000       0.493434       0.000000
       0.679000       0.493339       0.000000
       0.680000       0.493327       0.000000
       0.681000       0.493420       0.000000
       0.682000       0.493642       0.000000
       0.683000       0.494028       0.000000
       0.684000       0.494612       0.000000
       0.685000       0.495423       0.000000
       0.686000       0.496457       0.000000
       0.687000       0.497702       0.000000
       0.688000       0.499145       0.000000
       0.689000       0.500763       0.000000
       0.690000       0.502534       0.000000
       0.691000       0.504435       0.000000
       0.692000       0.506455       0.000000
       0.693000       0.508585       0.000000
       0.694000       0.510813       0.000000
       0.695000       0.513122       0.000000
       0.696000       0.515493       0.000000
       0.697000       0.517912       0.000000
       0.698000       0.520388       0.000000
       0.699000       0.522934       0.000000
       0.700000       0.525558       0.000000
       0.701000       0.528253       0.000000
       0.702000       0.531008       0.000000
       0.703000       0.533812       0.000000
       0.704000       0.536650       0.000000
       0.705000       0.539508       0.000000
       0.706000       0.542378       0.000000
       0.707000       0.545272       0.000000
       0.708000       0.548208       0.000000
       0.709000       0.551204       0.000000
       0.710000       0.554263       0.000000
       0.711000       0.557388       0.000000
       0.712000       0.560583       0.000000
       0.713000       0.563867       0.000000
       0.714000       0.567259       0.000000
       0.715000       0.570780       0.000000
       0.716000       0.574450       0.000000
       0.717000       0.578289       0.000000
       0.718000       0.582301       0.000000
       0.719000       0.586445       0.000000
       0.720000       0.590664       0.000000
       0.721000       0.594909       0.000000
       0.722000       0.599160       0.000000
       0.723000       0.603404       0.000000
       0.724000       0.607637       0.000000
       0.725000       0.611897       0.000000
       0.726000       0.616230       0.000000
       0.727000       0.620664       0.000000
       0.728000       0.625145       0.000000
       0.729000       0.629600       0.000000
       0.730000       0.633966       0.000000
       0.731000       0.638226       0.000000
       0.732000       0.642373       0.000000
       0.733000       0.646402       0.000000
       0.734000       0.650316       0.000000
       0.735000       0.654118       0.000000
       0.736000       0.657812       0.000000
       0.737000       0.661405       0.000000
       0.738000       0.664900       0.000000
       0.739000       0.668302       0.000000
       0.740000       0.671600       0.000000
       0.741000       0.674781       0.000000
       0.742000       0.677834       0.000000
       0.743000       0.680754       0.000000
       0.744000       0.683538       0.000000
       0.745000       0.686183       0.000000
       0.746000       0.688687       0.000000
       0.747000       0.691049       0.000000
       0.748000       0.693269       0.000000
       0.749000       0.695350       0.000000
       0.750000       0.697296       0.000000
       0.751000       0.699111       0.000000
       0.752000       0.700798       0.000000
       0.753000       0.702357       0.000000
       0.754000       0.703795       0.000000
       0.755000       0.705145       0.000000
       0.756000       0.706444       0.000000
       0.757000       0.707724       0.000000
       0.758000       0.708987       0.000000
       0.759000       0.710229       0.000000
       0.760000       0.711435       0.000000
       0.761000       0.712545       0.000000
       0.762000       0.713491       0.000000
       0.763000       0.714221       0.000000
       0.764000       0.714755       0.000000
       0.765000       0.715132       0.000000
       0.766000       0.715399       0.000000
       0.767000       0.715633       0.000000
       0.768000       0.715921       0.000000
       0.769000       0.716321       0.000000
       0.770000       0.716795       0.000000
       0.771000       0.717279       0.000000
       0.772000       0.717721       0.000000
       0.773000       0.718127       0.000000
       0.774000       0.718517       0.000000
       0.775000       0.718902       0.000000
       0.776000       0.719278       0.000000
       0.777000       0.719631       0.000000
       0.778000       0.719954       0.000000
       0.779000       0.720257       0.000000
       0.780000       0.720557       0.000000
       0.781000       0.720863       0.000000
       0.782000       0.721175       0.000000
       0.783000       0.721489       0.000000
       0.784000       0.721801       0.000000
       0.785000       0.722113       0.000000
       0.786000       0.722429       0.000000
       0.787000       0.722752       0.000000
       0.788000       0.723077       0.000000
       0.789000       0.723401       0.000000
       0.790000       0.723715       0.000000
       0.791000       0.724015       0.000000
       0.792000       0.724290       0.000000
       0.793000       0.724539       0.000000
       0.794000       0.724777       0.000000
       0.795000       0.725026       0.000000
       0.796000       0.725299       0.000000
       0.797000       0.725589       0.000000
       0.798000       0.725883       0.000000
       0.799000       0.726170       0.000000
       0.800000       0.726454       0.000000
       0.801000       0.726741       0.000000
       0.802000       0.727032       0.000000
       0.803000       0.727315       0.000000
       0.804000       0.727571       0.000000
       0.805000       0.727789       0.000000
